fund_name,stock_url,Stock_Invested_in,Sector,Value_Mn,pct_of_total_holdings,1m_change,1Y_Highest_Holding,1Y_Lowest_Holding,Quantity,1M_Change_in_Qty,Stock Invested in,1Y_Highest Holding,1Y_Lowest Holding,1m_change1
Mahindra Manulife Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/icra/ICR,ICRA Ltd.,Ratings,485.8,2.26%,0.25%,2.26% (Sep 2023),0% (Oct 2022),88.61 k,35.50 k,,,,0.25
ICICI Prudential Smallcap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/mindacorporation/MC23,Minda Corporation Ltd.,Auto components & equipments,1369.8,2.26%,0.30%,2.26% (Sep 2023),0% (Oct 2022),41.13 L,-0.87 L,,,,0.3
UTI Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/ceramics-granite/cerasanitaryware/CS18,Cera Sanitaryware Ltd.,Sanitary ware,702.7,2.25%,0.37%,2.25% (Aug 2023),1.6% (Dec 2022),73.91 k,0,,,,0.37
Invesco India Smallcap Fund - Direct - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/household-personal-products/safariindustriesindia/SII01,Safari Industries (India) Ltd.,Plastic products - consumer,594.5,2.25%,0.35%,2.25% (Aug 2023),0.79% (Sep 2022),1.61 L,0.00,,,,0.35
Invesco India Smallcap Fund - Direct - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/auto-ancillaries-castingsforgings/cieautomotiveindia/MF19,CIE AUTOMOTIVE INDIA Ltd.,Auto components & equipments,593.7,2.25%,2.25%,2.25% (Aug 2023),0% (Sep 2022),11.36 L,54.47 k,,,,2.25
Edelweiss Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/amberenterprisesindialimited/AEI01,Amber Enterprises India Ltd.,Household appliances,529.5,2.24%,0.25%,2.24% (Aug 2023),0.62% (Apr 2023),1.83 L,7.61 k,,,,0.25
HSBC Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/it-services-consulting/kpittechnologies/KPITT54265,KPIT Technologies Ltd.,Computers - software & consulting,2573.1,2.23%,0.03%,2.43% (May 2023),1.51% (Sep 2022),21.88 L,0.00,,,,0.03
Invesco India Smallcap Fund - Direct - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/hospital-healthcare-services/globalhealth/GH03,Global Health Ltd.,Hospital,585.4,2.22%,1.03%,2.22% (Aug 2023),0% (Sep 2022),8.25 L,4.16 L,,,,1.03
DSP Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/household-personal-products/safariindustriesindia/SII01,Safari Industries (India) Ltd.,Plastic products - consumer,2674.0,2.21%,0.13%,2.21% (Sep 2023),1.21% (Nov 2022),6.83 L,0.00,,,,0.13
Edelweiss Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/hospital-healthcare-services/krishnainstitutemedicalsciences/KIo01,Krishna Institute of Medical Sciences Ltd.,Hospital,521.9,2.21%,0.69%,2.21% (Aug 2023),0% (Sep 2022),2.61 L,90.93 k,,,,0.69
ITI Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/construction-contracting-civil/ncc/NCC01,NCC Ltd.,Civil construction,319.8,2.21%,0.05%,2.21% (Aug 2023),0% (Sep 2022),18.85 L,0.00,,,,0.05
DSP Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/computers-software-medium-small/eclerxservices/eS06,eClerx Services Ltd.,Business process outsourcing (bpo)/ knowledge process outsourcing (kpo),2666.0,2.20%,0.21%,2.44% (Jan 2023),1.99% (Aug 2023),14.80 L,0.00,,,,0.21
Canara Robeco Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/aerospace-defence/bharatelectronics/BE03,Bharat Electronics Ltd.,Aerospace & defense,1712.6,2.19%,0.14%,2.19% (Sep 2023),1.33% (Apr 2023),1.24 Cr,7.00 L,,,,0.14
Aditya Birla Sun Life Small cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/electric-equipment/hitachienergyindia/APP03,ABB Power Products and Systems India Ltd.,Heavy electrical equipment,982.1,2.18%,0.06%,2.62% (Sep 2022),2.12% (Jul 2023),2.23 L,0.00,,,,0.06
Sundaram Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software/cyient/IE07,Cyient Ltd.,It enabled services,560.2,2.17%,0.13%,2.19% (Jun 2023),1.34% (Oct 2022),3.42 L,0.00,,,,0.13
Edelweiss Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,509.8,2.16%,0.24%,2.25% (Feb 2023),1.86% (Jun 2023),35.42 L,5.11 L,,,,0.24
Bandhan Emerging Businesses Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-term-lending-institutions/powerfinancecorporation/PFC02,Power Finance Corporation Ltd.,Financial institution,433.2,2.15%,0.06%,2.15% (Aug 2023),0% (Sep 2022),16.65 L,1.65 L,,,,0.06
ICICI Prudential Smallcap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/construction-contracting-real-estate/pncinfratech/PI26,PNC Infratech Ltd.,Civil construction,1303.5,2.15%,0.40%,2.62% (Jan 2023),1.75% (Aug 2023),35.66 L,-1.24 L,,,,0.4
Kotak Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/couriers/bluedartexpress/BDE,Blue Dart Express Ltd.,Logistics solution provider,2664.4,2.14%,0.16%,2.21% (Dec 2022),1.87% (Jan 2023),3.98 L,11.25 k,,,,0.16
UTI Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/hotels/chalethotels/CH03,Chalet Hotels Ltd.,Hotels & resorts,658.0,2.10%,0.14%,2.1% (Aug 2023),1.75% (Dec 2022),11.94 L,0,,,,0.14
Mahindra Manulife Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/cholamandalamfinancialholdings/TII,Cholamandalam Financial Holdings Ltd.,Investment company,449.6,2.09%,0.54%,2.3% (Jun 2023),0% (Oct 2022),3.87 L,1.44 L,,,,0.54
Mahindra Manulife Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/sugar/triveniengineeringindustries/TE10,Triveni Engineering & Industries Ltd.,Sugar,448.0,2.08%,0.39%,2.39% (Apr 2023),0% (Oct 2022),11.80 L,3.50 L,,,,0.39
DSP Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/household-personal-products/safariindustriesindia/SII01,Safari Industries (India) Ltd.,Plastic products - consumer,2516.1,2.08%,0.40%,2.08% (Aug 2023),1.21% (Nov 2022),6.83 L,0.00,,,,0.4
HSBC Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/construction-contracting-civil/mahindralifespacedevelopers/MLD,Mahindra Lifespace Developers Ltd.,"Residential, commercial projects",2407.5,2.08%,0.04%,2.38% (Sep 2022),1.7% (Jan 2023),42.42 L,0.00,,,,0.04
Canara Robeco Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/kaynestechnologyindia/KTI,Kaynes Technology India Private Ltd.,Industrial products,1619.0,2.07%,0.20%,2.07% (Sep 2023),0% (Oct 2022),7.04 L,0.00,,,,0.2
Aditya Birla Sun Life Small cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/diversified/starhealthalliedinsurancecompany/SHA,Star Health and Allied Insurance Co Ltd.,General insurance,928.8,2.06%,0.71%,2.06% (Aug 2023),0% (Sep 2022),14.61 L,5.77 L,,,,0.71
Invesco India Smallcap Fund - Direct - Growth,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jbchemicalspharmaceuticals/JBC01,JB Chemicals & Pharmaceuticals Ltd.,Pharmaceuticals,566.4,2.05%,2.05%,2.05% (Sep 2023),0% (Oct 2022),3.82 L,3.82 L,,,,2.05
